,Open price,Close price,Daily volatility,Max drawdown
BTC-USD,98504.7265625,84149.6015625,0.022432693936689924,-0.3254677823420918
ETH-USD,3361.053955078125,2742.62744140625,0.039794065029810276,-0.6323957203281366
BNB-USD,622.8263549804688,823.8106079101562,0.02882372512481456,-0.3712398246350881
SOL-USD,257.0658874511719,127.42701721191406,0.04569418619377472,-0.5970814063900632
